Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Receipts,,,Other Operating Receipts,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Receipts,,,,Total Operating Receipts,Operating Income Loss
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Salaries,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Fringe Benefits,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Purchased Services,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Materials and Supplies,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Cost of Sales,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Depreciation,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Claims,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Capital Outlay,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,Other Operating Disbursements,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Operating Disbursements,,,,Total Operating Disbursements,Operating Income Loss
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Sale of Bonds,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Sale of Notes,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Other Debt Proceeds,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,Debt Service,,Redemption of Principal,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,Debt Service,,Interest and Other Fiscal Charges,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,Debt Service,,Issuance Costs,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Sale of Capital Assets,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Interest Receipts,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Operating Grants,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Other Non Operating Receipts,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,Other Non Operating Disbursements,,Total Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,Non Operating Receipts Disbursements,,,,Total Non Operating Receipts Disbursements,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,Capital Contributions,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,Special Items,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,Extraordinary Items,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,Transfers In,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,Transfers Out,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,,Change in Fund Balances Net Position,Fund Balances Net Position End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,Fund Balance or Net Position Beginning of Year,,Fund Balances Net Position End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Sewer,,,,,Fund Balances Net Position End of Year,
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Receipts,,,Sales,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Receipts,,,Charges for Services,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Receipts,,,Miscellaneous,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Receipts,,,Other Operating Receipts,,Total Operating Receipts
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Receipts,,,,Total Operating Receipts,Operating Income Loss
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Salaries,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Fringe Benefits,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Purchased Services,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Materials and Supplies,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Cost of Sales,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Depreciation,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Claims,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Capital Outlay,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,Other Operating Disbursements,,Total Operating Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Operating Disbursements,,,,Total Operating Disbursements,Operating Income Loss
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Sale of Bonds,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Sale of Notes,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Other Debt Proceeds,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,Debt Service,,Redemption of Principal,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,Debt Service,,Interest and Other Fiscal Charges,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,Debt Service,,Issuance Costs,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Sale of Capital Assets,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Interest Receipts,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Operating Grants,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Other Non Operating Receipts,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,Other Non Operating Disbursements,,Total  Non Operating Receipts Disbursements
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,Non Operating Receipts Disbursements,,,,Total  Non Operating Receipts Disbursements,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,Capital Contributions,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,Special Items,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,Extraordinary Items,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,Transfers In,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,Transfers Out,,Change in Fund Balances Net Position
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,,Change in Fund Balances Net Position,Fund Balances Net Position End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,Fund Balance or Net Position Beginning of Year,,Fund Balances Net Position End of Year
STATEMENT OF CASH RECEIPTS DISBURSEMENTS AND CHANGES IN FUND BALANCES or NET POSITION,PROPRIETARY FUNDS,Landfill,,,,,Fund Balances Net Position End of Year,
