Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Income Taxes,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Special Assessments,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Intergovernmental,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Interest,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Licenses and Permits,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Fines and Forfeitures,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Rentals,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Charges for Services,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Contributions and Donations,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,Other Revenues,,Total Revenues
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Revenues,,,,Total Revenues,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,Security of Persons and Property,Police,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,Security of Persons and Property,Fire,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,Security of Persons and Property,Other,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Public Services,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Public Health,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Leisure Time Activities,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Community and Econcomic Development,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Basic Utility Service,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Public Works,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Transportation,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,General Government,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Current,,Intergovernmental,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,,,Capital Outlay,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Debt Service,,Principal Retirement,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Debt Service,,Interest and Fiscal Charges,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Debt Service,,Bond Issuance Costs,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,Debt Service,,Other,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,,,Other Expenditures,,Total Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Expenditures,,,,Total Expenditures,Excess of Revenues Over Under Expenditures
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Excess of Revenues Over Under Expenditures,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Sale of Capital Assets,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Inception of Capital Lease,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,General Obligation Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Refunding Bonds Issued,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Premium on Debt Issuance,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Payment to Refunded Bond Escrow Agent,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Transfers In,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Transfers Out,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Other Financing Sources,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,Other Financing Uses,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Other Financing Sources Uses,,,,Total Other Financing Sources Uses,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Net Change in Fund Balances,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Fund Balances Beginning of Year,,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,Increase Decrease in Inventory or Prepaid Assets,,Fund Balances End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,GOVERNMENTAL FUNDS,Total Governmental Funds,,,,,Fund Balances End of Year,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Other Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,Restricted Assets,Investments,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,Capital Assets,Less Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Assets,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Total Deferred Outflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,General Obligation Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Revenue Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Capital Leases Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Claims Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Other Long Term Liabilities,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,,Total Long Term Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Total Deferred Inflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,Unrestricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,,Total Net Position,
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Sales,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Charges for Services,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Miscellaneous,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Other Operating Revenues,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,,Total Operating Revenues,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Salaries,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Fringe Benefits,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Purchased Services,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Materials and Supplies,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Cost of Sales,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Depreciation,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Claims,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Other Operating Expenses,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,,Total Operating Expenses,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Operating Income Loss,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Interest and Fiscal Charges,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Gain on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Loss on Sale of Capital Assets,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Interest Earnings,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Operating Grants,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Other Non Operating Revenues,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,Other Non Operating Expenses,,Total Non Operating Revenues Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Non Operating Revenues Expenses,,,,Total Non Operating Revenues Expenses,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Income Loss before Capital Contributions Special and Extraordinary Items and Transfers,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Capital Contributions,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Special Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Extraordinary Items,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Transfers In,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Transfers Out,,Change in Net Position
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Change in Net Position,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,Net Position Beginning of Year,,Net Position End of Year
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Net Position End of Year,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Other Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,Restricted Assets,Investments,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,Capital Assets,Less Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Assets,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,Total Deferred Outflows of Resources,,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
