Page Description 1,Page Description 2,Column Description,Category,Subcategory,Tertiary Category,Field,Calculated,SumGroup
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Premium on Debt Issuance,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Payment to Refunded Bond Escrow Agent,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Transfers In,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Transfers Out,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Other Financing Sources,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,Other Financing Uses,,Total Other Financing Sources Uses
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Other Financing Sources Uses,,,,Total Other Financing Sources Uses,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Special and Extraordinary Items,,,Special Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Special and Extraordinary Items,,,Extraordinary Item,,Total Special and Extraordinary Items
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Special and Extraordinary Items,,,,Total Special and Extraordinary Items,Net Change in Fund Balances
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,,,,,Net Change in Fund Balances,Fund Balances  End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Fund Balances Beginning of Year,,,Fund Balances Beginning of Year,,Fund Balances  End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,Increase Decrease in Inventory Or Prepaid Assets,,,Increase Decrease in Inventory Or Prepaid Assets,,Fund Balances  End of Year
STATEMENT OF REVENUES EXPENDITURES AND CHANGES IN FUND BALANCES,Governmental Funds,Total Governmental,,,,,Fund Balances  End of Year,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,Other Current Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,,Investment,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,Capital Assets,Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,,Less  Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,Noncurrent Asset,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Total Deferred Outflows of Resources,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,General Obligation Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Revenue Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Capital Leases Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Claims Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,Other Long Term Liabilities,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,Long Term Liabilities,,,Total Long Term Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,,,,,Total Deferred Inflows of Resources,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,Unrestricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Net Position,,,,Total Net Position,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,Other Current Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,,Investment,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,Capital Assets,Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,,Less  Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,Noncurrent Asset,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Total Deferred Outflows of Resources,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,General Obligation Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Revenue Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Capital Leases Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Claims Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,Other Long Term Liabilities,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,Long Term Liabilities,,,Total Long Term Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,,,,,Total Deferred Inflows of Resources,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,Unrestricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Sewer,Net Position,,,,Total Net Position,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Cash and Cash Equivalents,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Investments,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,Receivables,Accounts,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,Receivables,Intergovernmental,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Inventory Held for Resale,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Materials and Supplies Inventory,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Prepaid Items,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Interfund Receivable,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,Other Current Assets,,Total Current Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Current Assets,,,Total Current Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,Restricted Assets,Cash and Cash Equivalents,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,Restricted Assets,Customer Deposits,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,,Investment,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,Capital Assets,Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,Capital Assets,Nondepreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,Capital Assets,Depreciable Capital Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,,Less  Accumulated Depreciation,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,,Other Noncurrent Assets,,Total Noncurrent Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,Noncurrent Asset,,,Total Noncurrent Assets,Total Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Assets,,,,Total Assets,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Total Deferred Outflows of Resources,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Accounts Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Accrued Wages,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Intergovernmental Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Due to Other Funds,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Compensated Absences Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Matured Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Matured Interest Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Unearned Revenue,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,General Obligation Bonds Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Capital Leases Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Claims Payable,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,Other Current Liabilities,,Total Current Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities,,,Total Current Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities Payable from Restricted Assets,,Revenue Bonds Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities Payable from Restricted Assets,,Accrued Interest Payable,,Total Current Liabilities Payable from Restricted Assets
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Current Liabilities Payable from Restricted Assets,,,Total Current Liabilities Payable from Restricted Assets,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,Compensated Absences Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,General Obligation Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,Revenue Bonds Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,Capital Leases Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,Claims Payable net of current portion,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,Other Long Term Liabilities,,Total Long Term Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,Long Term Liabilities,,,Total Long Term Liabilities,Total Liabilities
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Liabilities,,,,Total Liabilities,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,,,,,Total Deferred Inflows of Resources,
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Net Position,,,Net Investment in Capital Assets,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Net Position,,,Restricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Net Position,,,Unrestricted,,Total Net Position
STATEMENT OF NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Landfill,Net Position,,,,Total Net Position,
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Sales,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Charges for Services,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Miscellaneous,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,Other Operating Revenues,,Total Operating Revenues
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Revenues,,,,Total Operating Revenues,Operating Income Loss
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Salaries,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Fringe Benefits,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Purchased Services,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Materials and Supplies,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Cost of Sales,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Depreciation,,Total Operating Expenses
STATEMENT OF REVENUES EXPENSES AND CHANGES IN NET POSITION,PROPRIETARY FUNDS,Enterprise Funds Water,Operating Expenses,,,Claims,,Total Operating Expenses
